candidate_id,current_title,years_of_experience,country,top_skills,final_score,suspicious_flags
CAND_0002025,Senior AI Engineer,5.9,India,"nlp, faiss, fine-tuning llms, weaviate, opensearch",92.5355,
CAND_0018499,Senior Machine Learning Engineer,7.2,India,"recommendation systems, information retrieval, embeddings, qlora, pinecone",92.1197,
CAND_0077337,Staff Machine Learning Engineer,7.0,India,"llms, information retrieval, rag, sentence transformers, recommendation systems",88.0222,
CAND_0005649,Senior Data Scientist,7.4,India,"information retrieval, qlora, rag, fine-tuning llms, recommendation systems",87.3714,
CAND_0071974,Senior AI Engineer,7.8,India,"peft, qdrant, embeddings, elasticsearch, lora",84.6603,
CAND_0042506,Search Engineer,4.2,India,"nlp, faiss, peft, milvus, information retrieval",84.155,
CAND_0086022,Senior Applied Scientist,5.3,India,"recommendation systems, qlora, lora, pinecone, sentence transformers",82.8506,
CAND_0011687,Senior NLP Engineer,7.8,India,"embeddings, faiss, opensearch, weaviate, peft",82.4318,
CAND_0046064,Senior NLP Engineer,8.9,India,"pinecone, qlora, peft, elasticsearch, python",82.4273,
CAND_0088025,Staff Machine Learning Engineer,8.6,India,"elasticsearch, rag, llms, nlp, python",82.3168,
CAND_0046525,Senior Machine Learning Engineer,6.1,India,"information retrieval, elasticsearch, sentence transformers, nlp, llms",81.6965,
CAND_0033861,Senior NLP Engineer,8.0,India,"milvus, llms, peft, qdrant, elasticsearch",80.6872,
CAND_0079387,AI Engineer,6.9,India,"sentence transformers, qlora, recommendation systems, opensearch, python",80.1428,
CAND_0008295,AI Research Engineer,6.5,India,"qlora, python, peft, weaviate",79.6691,
CAND_0054100,Junior ML Engineer,6.0,India,"weaviate, fine-tuning llms, qlora, pinecone",79.4438,
CAND_0042029,Senior Data Scientist,6.5,India,"nlp, elasticsearch, embeddings, rag, opensearch",79.2733,
CAND_0020877,Applied ML Engineer,5.1,India,"qdrant, information retrieval, qlora, elasticsearch, milvus",79.2042,
CAND_0045141,Data Scientist,5.3,India,"qlora, llms, pinecone, faiss, milvus",79.1828,
CAND_0091580,Data Scientist,5.5,India,"qlora, qdrant, nlp, faiss",79.0706,
CAND_0016659,ML Engineer,4.4,India,"weaviate, information retrieval, pinecone, peft, faiss",78.9822,low github activity
